zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
39730,55,City of Aberdeen - (MS),MS,Bundled,Municipal,0.12279033734770055,0.056408434411871634,0.12341986803971142
38858,55,City of Aberdeen - (MS),MS,Bundled,Municipal,0.12279033734770055,0.056408434411871634,0.12341986803971142
21864,84,A & N Electric Coop,MD,Bundled,Cooperative,0.14048964218455742,0,0.13877551020408163
21824,84,A & N Electric Coop,MD,Bundled,Cooperative,0.14048964218455742,0,0.13877551020408163
21866,84,A & N Electric Coop,MD,Bundled,Cooperative,0.14048964218455742,0,0.13877551020408163
21851,84,A & N Electric Coop,MD,Bundled,Cooperative,0.14048964218455742,0,0.13877551020408163
21863,84,A & N Electric Coop,MD,Bundled,Cooperative,0.14048964218455742,0,0.13877551020408163
23302,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23308,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23486,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23350,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23395,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23410,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23417,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23416,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23426,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23418,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23421,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23306,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23488,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23414,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23442,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23358,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23307,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23301,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23480,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23401,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23356,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23415,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23336,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23359,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23357,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23341,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23423,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
23427,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11899752226227228,0.10461650102539832,0.1333598737314768
